table_name,constraint_type,column_name,referenced_table,referenced_column,constraint_name
chapters,FOREIGN KEY,subject_id,subjects,id,chapters_subject_id_fkey
chapters,PRIMARY KEY,id,chapters,id,chapters_pkey
chapters,UNIQUE,subject_id,chapters,name,chapters_subject_id_name_key
chapters,UNIQUE,subject_id,chapters,subject_id,chapters_subject_id_name_key
chapters,UNIQUE,id,chapters,subject_id,uq_chapters_id_subject
chapters,UNIQUE,id,chapters,id,uq_chapters_id_subject
chapters,UNIQUE,subject_id,chapters,subject_id,uq_chapters_id_subject
chapters,UNIQUE,name,chapters,subject_id,chapters_subject_id_name_key
chapters,UNIQUE,name,chapters,name,chapters_subject_id_name_key
chapters,UNIQUE,subject_id,chapters,id,uq_chapters_id_subject
clos,FOREIGN KEY,subject_id,subjects,id,clos_subject_id_fkey
clos,PRIMARY KEY,id,clos,id,clos_pkey
clos,UNIQUE,id,clos,id,uq_clos_id_subject
clos,UNIQUE,subject_id,clos,subject_id,clos_subject_id_code_key
clos,UNIQUE,subject_id,clos,code,clos_subject_id_code_key
clos,UNIQUE,id,clos,subject_id,uq_clos_id_subject
clos,UNIQUE,subject_id,clos,subject_id,uq_clos_id_subject
clos,UNIQUE,code,clos,subject_id,clos_subject_id_code_key
clos,UNIQUE,code,clos,code,clos_subject_id_code_key
clos,UNIQUE,subject_id,clos,id,uq_clos_id_subject
exam_attempts,FOREIGN KEY,exam_id,exams,id,exam_attempts_exam_id_fkey
exam_attempts,FOREIGN KEY,student_id,profiles,id,exam_attempts_student_id_fkey
exam_attempts,PRIMARY KEY,id,exam_attempts,id,exam_attempts_pkey
exam_attempts,UNIQUE,exam_id,exam_attempts,student_id,exam_attempts_exam_id_student_id_attempt_number_key
exam_attempts,UNIQUE,exam_id,exam_attempts,exam_id,exam_attempts_exam_id_student_id_attempt_number_key
exam_attempts,UNIQUE,exam_id,exam_attempts,attempt_number,exam_attempts_exam_id_student_id_attempt_number_key
exam_attempts,UNIQUE,student_id,exam_attempts,student_id,exam_attempts_exam_id_student_id_attempt_number_key
exam_attempts,UNIQUE,student_id,exam_attempts,exam_id,exam_attempts_exam_id_student_id_attempt_number_key
exam_attempts,UNIQUE,student_id,exam_attempts,attempt_number,exam_attempts_exam_id_student_id_attempt_number_key
exam_attempts,UNIQUE,attempt_number,exam_attempts,student_id,exam_attempts_exam_id_student_id_attempt_number_key
exam_attempts,UNIQUE,attempt_number,exam_attempts,attempt_number,exam_attempts_exam_id_student_id_attempt_number_key
exam_attempts,UNIQUE,attempt_number,exam_attempts,exam_id,exam_attempts_exam_id_student_id_attempt_number_key
exam_chapters,FOREIGN KEY,chapter_id,chapters,id,exam_chapters_chapter_id_fkey
exam_chapters,FOREIGN KEY,exam_id,exams,id,exam_chapters_exam_id_fkey
exam_chapters,PRIMARY KEY,id,exam_chapters,id,exam_chapters_pkey
exam_chapters,UNIQUE,exam_id,exam_chapters,chapter_id,exam_chapters_exam_id_chapter_id_key
exam_chapters,UNIQUE,exam_id,exam_chapters,exam_id,exam_chapters_exam_id_chapter_id_key
exam_chapters,UNIQUE,chapter_id,exam_chapters,exam_id,exam_chapters_exam_id_chapter_id_key
exam_chapters,UNIQUE,chapter_id,exam_chapters,chapter_id,exam_chapters_exam_id_chapter_id_key
exam_clos,FOREIGN KEY,clo_id,clos,id,exam_clos_clo_id_fkey
exam_clos,FOREIGN KEY,exam_id,exams,id,exam_clos_exam_id_fkey
exam_clos,PRIMARY KEY,id,exam_clos,id,exam_clos_pkey
exam_clos,UNIQUE,exam_id,exam_clos,exam_id,exam_clos_exam_id_clo_id_key
exam_clos,UNIQUE,exam_id,exam_clos,clo_id,exam_clos_exam_id_clo_id_key
exam_clos,UNIQUE,clo_id,exam_clos,exam_id,exam_clos_exam_id_clo_id_key
exam_clos,UNIQUE,clo_id,exam_clos,clo_id,exam_clos_exam_id_clo_id_key
exam_questions,FOREIGN KEY,question_id,questions,id,exam_questions_question_id_fkey
exam_questions,FOREIGN KEY,exam_id,exams,id,exam_questions_exam_id_fkey
exam_questions,PRIMARY KEY,id,exam_questions,id,exam_questions_pkey
exam_questions,UNIQUE,exam_id,exam_questions,question_id,exam_questions_exam_id_question_id_key
exam_questions,UNIQUE,exam_id,exam_questions,exam_id,exam_questions_exam_id_question_id_key
exam_questions,UNIQUE,exam_id,exam_questions,question_order,exam_questions_exam_id_question_order_key
exam_questions,UNIQUE,exam_id,exam_questions,exam_id,exam_questions_exam_id_question_order_key
exam_questions,UNIQUE,question_id,exam_questions,exam_id,exam_questions_exam_id_question_id_key
exam_questions,UNIQUE,question_order,exam_questions,exam_id,exam_questions_exam_id_question_order_key
exam_questions,UNIQUE,question_order,exam_questions,question_order,exam_questions_exam_id_question_order_key
exam_questions,UNIQUE,question_id,exam_questions,question_id,exam_questions_exam_id_question_id_key
exams,FOREIGN KEY,subject_id,subjects,id,exams_subject_id_fkey
exams,FOREIGN KEY,created_by,profiles,id,exams_created_by_fkey
exams,PRIMARY KEY,id,exams,id,exams_pkey
profiles,FOREIGN KEY,id,null,null,profiles_id_fkey
profiles,PRIMARY KEY,id,profiles,id,profiles_pkey
profiles,UNIQUE,mssv,profiles,mssv,profiles_mssv_key
question_options,FOREIGN KEY,question_id,questions,id,question_options_question_id_fkey
question_options,PRIMARY KEY,id,question_options,id,question_options_pkey
question_options,UNIQUE,question_id,question_options,question_id,question_options_question_id_option_key_key
question_options,UNIQUE,question_id,question_options,option_key,question_options_question_id_option_key_key
question_options,UNIQUE,option_key,question_options,option_key,question_options_question_id_option_key_key
question_options,UNIQUE,option_key,question_options,question_id,question_options_question_id_option_key_key
questions,FOREIGN KEY,chapter_id,chapters,id,questions_chapter_id_fkey
questions,FOREIGN KEY,subject_id,subjects,id,questions_subject_id_fkey
questions,FOREIGN KEY,topic_id,topics,id,fk_questions_topic_chapter
questions,FOREIGN KEY,topic_id,topics,chapter_id,fk_questions_topic_chapter
questions,FOREIGN KEY,clo_id,clos,subject_id,fk_questions_clo_subject
questions,FOREIGN KEY,clo_id,clos,id,fk_questions_clo_subject
questions,FOREIGN KEY,chapter_id,chapters,subject_id,fk_questions_chapter_subject
questions,FOREIGN KEY,chapter_id,chapters,id,fk_questions_chapter_subject
questions,FOREIGN KEY,clo_id,clos,id,questions_clo_id_fkey
questions,FOREIGN KEY,created_by,profiles,id,questions_created_by_fkey
questions,FOREIGN KEY,topic_id,topics,id,questions_topic_id_fkey
questions,FOREIGN KEY,chapter_id,topics,chapter_id,fk_questions_topic_chapter
questions,FOREIGN KEY,chapter_id,topics,id,fk_questions_topic_chapter
questions,FOREIGN KEY,subject_id,chapters,id,fk_questions_chapter_subject
questions,FOREIGN KEY,subject_id,chapters,subject_id,fk_questions_chapter_subject
